               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.03494,            0.030418,                   0,             0.72846,             0.70371,             0.75979,             0.50763,            0.026768,            0.012608,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.035258,            0.030318,                   0,             0.73093,              0.7072,             0.76376,             0.51051,            0.026622,             0.01255,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.034622,            0.030175,                   0,             0.73647,             0.70684,             0.76652,             0.51339,            0.026539,            0.012506,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.034608,            0.029917,                   0,             0.73627,             0.71228,             0.77017,             0.51659,            0.026446,            0.012423,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.034487,             0.03003,                   0,             0.73867,             0.71598,             0.77431,             0.52025,            0.026355,            0.012347,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.034634,            0.030031,                   0,             0.74076,             0.71733,             0.77731,             0.52354,            0.026271,            0.012293,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.034629,            0.029734,                   0,             0.74882,             0.71688,             0.78034,             0.52615,            0.026186,            0.012242,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.034582,             0.02973,                   0,             0.74974,             0.72167,             0.78291,             0.52944,            0.026098,              0.0122,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.034612,            0.029663,                   0,             0.75147,             0.72309,             0.78527,             0.53176,            0.026001,            0.012156,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,             0.03445,            0.029679,                   0,             0.75345,             0.72694,             0.78812,             0.53422,            0.025923,            0.012104,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.033928,            0.029419,                   0,              0.7553,             0.72842,             0.79049,             0.53621,             0.02584,            0.012057,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.034099,            0.029446,                   0,             0.75626,             0.72967,             0.79281,             0.53828,            0.025774,            0.012011,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.034163,            0.029393,                   0,             0.75863,             0.73057,              0.7946,             0.54008,            0.025723,            0.011973,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,             0.03406,            0.029362,                   0,             0.75896,             0.73278,             0.79639,              0.5416,            0.025673,            0.011942,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.034247,            0.029628,                   0,             0.75809,             0.73426,             0.79806,             0.54336,            0.025617,            0.011913,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.033703,            0.029175,                   0,             0.75813,             0.73757,             0.80006,             0.54522,            0.025565,            0.011879,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.033676,            0.029252,                   0,             0.75986,             0.73908,             0.80188,             0.54659,            0.025512,            0.011843,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.033533,            0.028878,                   0,             0.76114,              0.7414,             0.80377,             0.54834,            0.025464,             0.01181,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.033516,            0.029031,                   0,             0.76422,             0.74121,             0.80521,             0.54971,            0.025416,             0.01178,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.033435,            0.028785,                   0,             0.76771,              0.7407,             0.80646,             0.55119,            0.025375,            0.011753,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.033652,            0.028749,                   0,             0.76779,             0.74257,             0.80782,             0.55225,            0.025338,            0.011725,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.033145,            0.028798,                   0,             0.76831,             0.74412,             0.80907,             0.55367,            0.025297,            0.011699,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.033334,            0.028657,                   0,             0.76937,             0.74563,             0.81035,             0.55501,            0.025256,             0.01167,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.033371,            0.028609,                   0,             0.76977,             0.74705,             0.81119,             0.55608,             0.02522,            0.011645,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.033295,            0.028741,                   0,             0.76924,             0.74917,             0.81233,             0.55731,             0.02518,            0.011619,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.032937,             0.02858,                   0,              0.7722,             0.74941,             0.81392,             0.55844,            0.025141,            0.011594,                   0,            0.006931,            0.006931,            0.006931
